NOUN,ADJF,ADJS,COMP,VERB,INFN,PRTF,PRTS,GRND,NUMR,ADVB,NPRO,PRED,PREP,CONJ,PRCL,INTJ,author
0.40374003678724707,0.14584610668301656,0.0101931330472103,0.00605456774984672,0.23359901900674432,0.04629061925199264,0.022762109135499694,0.0023758430410790927,0.010346413243408951,0.0054414469650521154,0.06177191906805641,0.016860821581851624,0.0014561618638871858,0.012645616186388719,0.00881361128142244,0.010652973635806254,0.0011496014714898835,Platonov
0.4262665375927719,0.15843820587286223,0.00925029579434226,0.005162955792191029,0.21878025169409487,0.030009680542110357,0.023878670538883512,0.0026890394750994943,0.011724212111433796,0.005808325266214908,0.0664730558244595,0.012262020006453695,0.002258793159083575,0.007744433688286544,0.009142734215338282,0.008604926320318382,0.001505862106055717,Platonov
0.41978759083286754,0.16377864728898825,0.009502515371716043,0.005030743432084964,0.19843487982112912,0.043040804918949134,0.026830631637786474,0.002794857462269424,0.004471771939631079,0.006707657909446618,0.0626048071548351,0.019005030743432086,0.005030743432084964,0.006148686416992733,0.010620458356623811,0.012856344326439352,0.003353828954723309,Platonov
0.37998066802706476,0.15272258618837933,0.01073998496402105,0.005906991730211577,0.22725808183868543,0.04682633444313178,0.01911717323595747,0.004940393083449683,0.00859198797121684,0.0031145956395661045,0.0736762968531844,0.022231768875523573,0.0033293953388465257,0.012028783159703576,0.012028783159703576,0.01686177639351305,0.000644399097841263,Platonov
0.40253236998354675,0.14700622362114601,0.010515773660490736,0.005293654767866085,0.2249803276343086,0.04270691751913585,0.02303455182774161,0.0020745403820015738,0.022676872451534446,0.0029329708848987767,0.06853136848129338,0.011517275913870806,0.00200300450676014,0.011231132412905073,0.011231132412905073,0.010301166034766435,0.0014307175048286717,Platonov
0.4130954970633022,0.16130084837937786,0.010985425277354797,0.005329562758320644,0.21590167500543833,0.032086143136828366,0.019469219055906026,0.0021753317380900587,0.012725690667826844,0.003371764194039591,0.07211224711768545,0.015662388514248424,0.0020665651511855556,0.00815749401783772,0.011529258211877311,0.012399390907113336,0.001631498803567544,Platonov
0.42924528301886794,0.12578616352201258,0.012578616352201259,0.0047169811320754715,0.25707547169811323,0.03223270440251572,0.012578616352201259,0.0007861635220125787,0.015723270440251572,0.00550314465408805,0.0589622641509434,0.014937106918238994,0.003930817610062893,0.006289308176100629,0.007861635220125786,0.009433962264150943,0.0023584905660377358,Platonov
0.42664829340682636,0.12730549077803688,0.008797964808140768,0.005193979224083103,0.25429298282806867,0.0344498622005512,0.01907992368030528,0.0026499894000424,0.010705957176171295,0.005087979648081407,0.06476574093703626,0.012295950816196735,0.00211999152003392,0.00582997668009328,0.0079499682001272,0.010493958024167903,0.002331990672037312,Platonov
0.4219915666558547,0.14866472051032545,0.010379500486539085,0.0035679532922478106,0.21883446859119904,0.038815007027786785,0.023137636501243376,0.003243593902043464,0.011244458860417342,0.006595307600821711,0.06865607092658665,0.010920099470212996,0.00151367715428695,0.009514542112660828,0.010703859876743431,0.011244458860417342,0.0009730781706130393,Platonov
0.4525607863424728,0.1453698913605794,0.009725814795654424,0.006001034661148474,0.21665804449042939,0.03217796171753751,0.015416451112260735,0.0020693222969477496,0.010863942058975685,0.0052767718572167615,0.06621831350232799,0.010967408173823074,0.0011381272633212622,0.007139161924469736,0.009001551991722711,0.008173823072943611,0.0012415933781686499,Platonov
